region	week	nb_deaths
ARA	9	45
ARA	10	178
ARA	11	286
ARA	12	270
ARA	13	240
ARA	14	218
ARA	15	148
ARA	16	121
ARA	17	82
ARA	18	60
ARA	19	51
ARA	20	27
ARA	21	22
ARA	22	11
ARA	23	8
ARA	24	10
ARA	25	6
ARA	26	3
ARA	27	7
ARA	28	3
ARA	29	1
ARA	30	7
ARA	31	6
ARA	32	7
ARA	33	6
ARA	34	20
ARA	35	34
ARA	36	57
ARA	37	65
ARA	38	69
ARA	39	130
ARA	40	205
ARA	41	399
ARA	42	616
ARA	43	658
ARA	44	625
ARA	45	554
ARA	46	452
ARA	47	372
ARA	48	317
ARA	49	261
ARA	50	200
ARA	51	75
ARA	52	326
IDF	9	115
IDF	10	670
IDF	11	1316
IDF	12	1462
IDF	13	1236
IDF	14	847
IDF	15	559
IDF	16	368
IDF	17	264
IDF	18	198
IDF	19	196
IDF	20	129
IDF	21	98
IDF	22	60
IDF	23	42
IDF	24	36
IDF	25	41
IDF	26	25
IDF	27	25
IDF	28	26
IDF	29	33
IDF	30	25
IDF	31	49
IDF	32	32
IDF	33	45
IDF	34	39
IDF	35	162
IDF	36	85
IDF	37	104
IDF	38	126
IDF	39	177
IDF	40	267
IDF	41	338
IDF	42	452
IDF	43	545
IDF	44	432
IDF	45	368
IDF	46	306
IDF	47	323
IDF	48	268
IDF	49	237
IDF	50	192
IDF	51	54
IDF	52	290
PACA	9	8
PACA	10	50
PACA	11	130
PACA	12	136
PACA	13	146
PACA	14	163
PACA	15	84
PACA	16	66
PACA	17	63
PACA	18	38
PACA	19	20
PACA	20	15
PACA	21	11
PACA	22	12
PACA	23	9
PACA	24	8
PACA	25	1
PACA	26	4
PACA	27	4
PACA	28	5
PACA	29	1
PACA	30	6
PACA	31	13
PACA	32	6
PACA	33	18
PACA	34	39
PACA	35	31
PACA	36	45
PACA	37	44
PACA	38	51
PACA	39	64
PACA	40	127
PACA	41	207
PACA	42	290
PACA	43	334
PACA	44	288
PACA	45	230
PACA	46	192
PACA	47	159
PACA	48	177
PACA	49	159
PACA	50	123
PACA	51	42
PACA	52	199
